no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_month,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,weekday,month_part
2,0,2,2,Not Selected,0,Room_Type 1,102,10,Online,0,0,0,79.65,0,Canceled,1,3
2,0,0,2,Meal Plan 1,0,Room_Type 1,110,4,Online,0,0,0,72.8,0,Not_Canceled,4,2
2,0,0,3,Meal Plan 1,0,Room_Type 1,44,2,Offline,0,0,0,75.0,0,Not_Canceled,5,2
2,2,1,1,Meal Plan 1,0,Room_Type 7,50,7,Online,0,0,0,260.9,0,Canceled,2,1
2,0,2,5,Meal Plan 1,0,Room_Type 1,83,3,Online,0,0,0,76.38,0,Canceled,6,2
1,0,0,2,Meal Plan 1,0,Room_Type 1,188,6,Offline,0,0,0,130.0,0,Canceled,4,2
2,0,2,1,Meal Plan 1,0,Room_Type 1,12,8,Online,0,0,0,105.0,1,Not_Canceled,1,3
2,0,1,4,Meal Plan 1,0,Room_Type 1,181,8,Online,0,0,0,108.45,1,Canceled,4,1
2,0,2,1,Meal Plan 1,0,Room_Type 1,282,11,Offline,0,0,0,77.0,0,Not_Canceled,0,2
1,0,0,2,Meal Plan 1,0,Room_Type 1,181,10,Offline,0,0,0,120.0,0,Canceled,3,1
1,0,0,2,Meal Plan 1,0,Room_Type 1,188,6,Offline,0,0,0,130.0,0,Canceled,4,2
1,0,0,1,Meal Plan 1,0,Room_Type 1,1,10,Complementary,0,0,0,0.0,1,Not_Canceled,4,2
3,0,0,3,Meal Plan 1,0,Room_Type 4,142,8,Online,0,0,0,146.7,0,Canceled,5,1
2,0,1,1,Meal Plan 1,0,Room_Type 7,3,10,Complementary,1,0,3,0.0,0,Not_Canceled,3,2
1,0,0,3,Meal Plan 1,0,Room_Type 1,151,1,Offline,0,0,0,71.0,0,Not_Canceled,4,2
2,0,2,1,Meal Plan 2,0,Room_Type 1,110,7,Offline,0,0,0,94.5,0,Canceled,1,3
2,0,1,0,Meal Plan 1,0,Room_Type 1,258,10,Offline,0,0,0,110.0,0,Canceled,1,2
2,0,0,1,Not Selected,0,Room_Type 1,95,4,Online,0,0,0,65.83,1,Not_Canceled,5,2
2,0,0,1,Meal Plan 1,0,Room_Type 1,51,10,Online,0,0,0,95.04,0,Canceled,5,1
2,0,1,0,Meal Plan 1,0,Room_Type 1,286,10,Offline,0,0,0,90.0,0,Canceled,1,2
2,0,1,1,Meal Plan 1,0,Room_Type 1,12,12,Offline,0,0,0,55.0,1,Not_Canceled,1,1
2,0,2,3,Meal Plan 1,0,Room_Type 1,55,11,Online,0,0,0,68.07,1,Not_Canceled,5,3
2,0,0,1,Not Selected,0,Room_Type 1,1,2,Online,0,0,0,81.0,1,Canceled,4,1
2,0,0,3,Meal Plan 1,0,Room_Type 1,2,12,Offline,0,0,0,58.0,0,Not_Canceled,5,1
2,0,0,1,Not Selected,0,Room_Type 1,11,1,Online,0,0,0,62.83,1,Not_Canceled,6,3
2,0,2,2,Meal Plan 1,0,Room_Type 1,30,3,Offline,0,0,0,85.0,1,Not_Canceled,6,1
2,0,0,3,Meal Plan 1,0,Room_Type 1,213,6,Offline,0,0,0,130.0,0,Canceled,3,1
2,0,2,1,Meal Plan 1,0,Room_Type 1,5,10,Online,0,0,0,146.67,0,Not_Canceled,0,3
2,2,0,4,Meal Plan 1,0,Room_Type 6,0,9,Online,0,0,0,195.0,1,Not_Canceled,4,1
2,0,0,0,Meal Plan 2,0,Room_Type 4,0,10,Online,0,0,0,0.0,0,Not_Canceled,6,2
2,0,1,0,Meal Plan 1,0,Room_Type 5,151,6,Offline,0,0,0,200.0,0,Canceled,2,3
2,0,2,6,Meal Plan 1,0,Room_Type 1,99,4,Offline,0,0,0,80.75,1,Not_Canceled,4,3
2,0,2,2,Meal Plan 1,0,Room_Type 4,172,10,Online,0,0,0,104.4,0,Canceled,6,3
2,0,0,1,Meal Plan 2,0,Room_Type 1,219,9,Offline,0,0,0,108.0,0,Canceled,0,1
3,0,0,3,Meal Plan 1,0,Room_Type 4,49,11,Online,0,0,0,126.0,2,Not_Canceled,4,2
2,0,1,2,Meal Plan 1,0,Room_Type 2,11,12,Online,0,0,0,80.41,0,Not_Canceled,0,3
2,0,0,5,Meal Plan 1,0,Room_Type 1,5,3,Online,0,0,0,129.0,0,Canceled,3,3
2,0,1,1,Not Selected,0,Room_Type 1,134,5,Online,0,0,0,94.5,0,Not_Canceled,2,3
2,0,0,2,Meal Plan 1,0,Room_Type 2,23,12,Online,0,0,0,81.75,1,Not_Canceled,5,2
1,0,0,2,Meal Plan 1,0,Room_Type 1,188,6,Offline,0,0,0,130.0,0,Canceled,4,2
1,0,0,1,Meal Plan 1,0,Room_Type 1,6,7,Offline,0,0,0,114.4,0,Not_Canceled,3,1
1,0,0,3,Meal Plan 1,0,Room_Type 1,166,11,Offline,0,0,0,110.0,0,Canceled,3,1
3,0,0,1,Meal Plan 1,0,Room_Type 4,50,8,Online,0,0,0,177.3,2,Not_Canceled,0,2
2,1,1,3,Meal Plan 1,0,Room_Type 1,57,8,Online,0,0,0,152.1,0,Not_Canceled,2,2
2,0,2,1,Not Selected,0,Room_Type 1,55,5,Online,0,0,0,116.1,0,Canceled,0,2
2,0,0,2,Meal Plan 1,0,Room_Type 1,6,10,Online,0,0,0,145.0,2,Not_Canceled,4,1
2,1,2,1,Meal Plan 1,0,Room_Type 1,6,12,Online,0,0,0,116.0,2,Not_Canceled,1,2
2,0,1,2,Meal Plan 1,0,Room_Type 1,80,3,Online,0,0,0,78.3,1,Canceled,2,1
2,0,0,4,Not Selected,0,Room_Type 1,33,3,Online,0,0,0,73.1,0,Canceled,4,1
2,0,2,3,Meal Plan 1,0,Room_Type 1,48,11,Offline,0,0,0,75.0,0,Not_Canceled,1,1
1,0,0,2,Meal Plan 1,0,Room_Type 1,192,6,Offline,0,0,0,95.0,0,Not_Canceled,6,3
1,0,0,1,Meal Plan 1,0,Room_Type 1,1,1,Online,0,0,0,85.0,0,Not_Canceled,1,3
2,0,2,3,Meal Plan 1,0,Room_Type 1,212,5,Offline,0,0,0,78.0,0,Not_Canceled,6,2
2,0,0,2,Meal Plan 1,0,Room_Type 4,79,5,Online,0,0,0,159.3,1,Canceled,6,2
2,0,1,5,Meal Plan 1,0,Room_Type 1,20,1,Offline,0,0,0,48.33,0,Not_Canceled,3,1
2,0,0,1,Meal Plan 2,0,Room_Type 1,83,9,Offline,0,0,0,112.2,0,Not_Canceled,5,3
1,0,2,1,Meal Plan 1,0,Room_Type 1,116,2,Offline,0,0,0,61.0,0,Canceled,2,3
2,0,2,2,Not Selected,0,Room_Type 1,128,6,Online,0,0,0,80.75,1,Not_Canceled,1,3
2,0,0,3,Meal Plan 2,0,Room_Type 1,1,9,Corporate,0,0,0,146.0,0,Not_Canceled,5,3
2,0,0,1,Not Selected,0,Room_Type 1,21,9,Online,0,0,0,118.0,1,Not_Canceled,4,1
2,0,0,4,Meal Plan 1,0,Room_Type 1,88,4,Online,0,0,0,105.4,3,Not_Canceled,4,3
2,0,1,1,Not Selected,0,Room_Type 1,3,8,Online,0,0,0,109.0,1,Not_Canceled,2,1
2,0,2,3,Meal Plan 1,0,Room_Type 1,192,9,Offline,0,0,0,102.0,0,Canceled,0,3
2,1,1,3,Meal Plan 1,0,Room_Type 1,207,8,Online,0,0,0,123.25,1,Canceled,2,3
1,0,1,0,Meal Plan 1,0,Room_Type 1,12,6,Corporate,1,0,7,65.0,1,Not_Canceled,2,2
2,0,0,3,Meal Plan 1,0,Room_Type 1,45,10,Online,0,0,0,94.5,2,Not_Canceled,6,3
1,0,0,1,Not Selected,0,Room_Type 1,36,10,Online,0,0,0,102.6,0,Canceled,5,2
1,0,0,4,Meal Plan 1,0,Room_Type 1,259,12,Online,0,0,0,73.95,1,Not_Canceled,4,1
3,0,0,1,Meal Plan 1,0,Room_Type 4,102,12,Online,0,0,0,126.0,0,Not_Canceled,3,1
2,0,1,2,Meal Plan 1,0,Room_Type 2,161,4,Offline,0,0,0,80.0,0,Not_Canceled,6,3
3,0,0,2,Meal Plan 1,0,Room_Type 4,15,4,Online,0,0,0,177.0,0,Canceled,6,3
2,0,1,2,Meal Plan 1,0,Room_Type 4,14,6,Online,0,0,0,149.33,1,Not_Canceled,6,1
2,0,1,3,Meal Plan 1,0,Room_Type 1,322,5,Offline,0,0,0,80.0,0,Canceled,5,2
1,0,0,1,Meal Plan 1,0,Room_Type 1,17,10,Online,0,0,0,139.0,2,Not_Canceled,5,1
1,0,2,2,Meal Plan 1,0,Room_Type 1,3,9,Complementary,0,0,0,0.0,0,Not_Canceled,1,3
2,0,0,2,Meal Plan 1,1,Room_Type 1,33,3,Online,0,0,0,135.9,0,Not_Canceled,5,3
2,0,1,2,Meal Plan 2,0,Room_Type 1,418,9,Offline,0,0,0,107.0,0,Canceled,2,3
2,0,0,2,Meal Plan 1,0,Room_Type 1,16,11,Offline,0,0,0,89.0,0,Not_Canceled,6,3
1,0,0,2,Meal Plan 1,0,Room_Type 1,12,10,Corporate,0,0,0,130.0,0,Not_Canceled,4,2
2,0,0,1,Meal Plan 2,0,Room_Type 1,100,10,Offline,0,0,0,108.0,0,Canceled,0,2
2,0,0,1,Not Selected,0,Room_Type 1,2,9,Online,0,0,0,0.0,1,Not_Canceled,4,3
1,0,0,1,Meal Plan 1,0,Room_Type 1,2,1,Corporate,0,0,0,66.0,0,Not_Canceled,6,2
2,0,1,0,Not Selected,0,Room_Type 1,33,5,Online,0,0,0,116.1,1,Not_Canceled,2,2
1,0,2,1,Meal Plan 1,0,Room_Type 1,23,3,Online,0,0,0,85.67,1,Canceled,0,2
2,0,0,1,Meal Plan 1,0,Room_Type 2,19,12,Online,0,0,0,77.25,1,Not_Canceled,5,3
1,0,0,2,Meal Plan 1,0,Room_Type 1,188,6,Offline,0,0,0,130.0,0,Canceled,4,2
2,1,1,2,Meal Plan 1,1,Room_Type 7,8,12,Corporate,1,0,1,220.0,2,Not_Canceled,6,3
2,0,0,3,Meal Plan 1,0,Room_Type 1,59,3,Online,0,0,0,80.3,2,Not_Canceled,4,1
2,0,0,3,Not Selected,0,Room_Type 1,35,2,Online,0,0,0,70.03,1,Not_Canceled,6,3
2,0,1,0,Meal Plan 1,0,Room_Type 1,4,1,Corporate,0,0,0,64.0,0,Not_Canceled,3,3
1,0,0,2,Meal Plan 1,0,Room_Type 4,1,10,Aviation,1,0,1,110.0,0,Not_Canceled,3,1
2,0,0,1,Meal Plan 1,0,Room_Type 4,5,6,Online,0,0,0,136.0,1,Not_Canceled,0,1
2,0,1,3,Not Selected,0,Room_Type 1,7,2,Online,0,0,0,81.0,1,Not_Canceled,3,1
2,0,2,2,Not Selected,0,Room_Type 1,18,1,Online,0,0,0,65.0,0,Not_Canceled,1,2
2,0,2,2,Meal Plan 1,0,Room_Type 1,99,10,Offline,0,0,0,65.0,0,Canceled,0,3
2,0,0,3,Meal Plan 1,0,Room_Type 1,104,12,Offline,0,0,0,75.0,0,Not_Canceled,6,1
2,0,1,2,Meal Plan 1,0,Room_Type 1,233,10,Offline,0,0,0,90.0,0,Canceled,6,2
2,0,1,3,Not Selected,0,Room_Type 1,16,12,Online,0,0,0,91.8,0,Not_Canceled,5,3
2,0,0,3,Meal Plan 1,0,Room_Type 4,67,9,Online,0,0,0,114.34,1,Not_Canceled,4,1
1,0,0,2,Meal Plan 1,0,Room_Type 1,6,12,Corporate,1,0,4,65.0,0,Not_Canceled,6,2
1,0,1,2,Meal Plan 1,0,Room_Type 4,60,5,Online,0,0,0,140.4,0,Canceled,6,3
2,0,1,2,Meal Plan 1,0,Room_Type 1,121,6,Offline,0,0,0,90.0,0,Canceled,6,3
2,0,0,2,Meal Plan 1,0,Room_Type 4,4,6,Online,0,0,0,108.8,0,Canceled,6,1
3,0,0,1,Meal Plan 1,0,Room_Type 4,95,5,Online,0,0,0,159.3,0,Canceled,0,2
2,0,0,2,Meal Plan 2,0,Room_Type 1,102,10,Offline,0,0,0,109.0,0,Not_Canceled,0,2
2,0,2,2,Meal Plan 1,0,Room_Type 1,39,9,Offline,0,0,0,80.75,0,Not_Canceled,1,2
1,0,2,2,Meal Plan 1,0,Room_Type 6,31,9,Online,0,0,0,156.42,1,Canceled,1,2
1,0,1,0,Meal Plan 1,0,Room_Type 1,24,11,Corporate,0,0,0,65.0,0,Not_Canceled,2,1
2,0,1,1,Meal Plan 1,0,Room_Type 1,3,10,Corporate,0,0,0,142.0,0,Not_Canceled,3,2
2,0,1,2,Meal Plan 1,0,Room_Type 1,60,12,Online,0,0,0,93.6,2,Not_Canceled,6,2
2,0,1,2,Meal Plan 1,0,Room_Type 1,305,11,Offline,0,0,0,89.0,0,Canceled,6,1
2,0,1,2,Meal Plan 1,0,Room_Type 4,18,7,Online,0,0,0,166.0,0,Canceled,6,1
2,0,1,1,Meal Plan 1,1,Room_Type 1,21,12,Online,0,0,0,125.0,2,Not_Canceled,3,3
1,0,0,3,Meal Plan 1,0,Room_Type 1,71,6,Offline,0,0,0,120.0,0,Not_Canceled,3,2
3,0,0,4,Meal Plan 1,0,Room_Type 4,64,7,Online,0,0,0,139.5,0,Canceled,3,2
2,0,1,2,Meal Plan 1,0,Room_Type 4,25,10,Offline,0,0,0,75.0,0,Not_Canceled,3,2
2,0,2,2,Meal Plan 1,0,Room_Type 1,23,4,Offline,0,0,0,95.0,2,Not_Canceled,0,1
3,0,2,2,Meal Plan 1,1,Room_Type 4,173,7,Online,0,0,0,130.55,2,Canceled,0,3
2,0,0,2,Meal Plan 1,0,Room_Type 1,185,5,Online,0,0,0,81.77,2,Canceled,6,1
1,0,0,3,Meal Plan 1,0,Room_Type 1,37,10,Offline,0,0,0,95.0,0,Not_Canceled,5,2
2,0,1,2,Meal Plan 1,0,Room_Type 1,21,8,Online,0,0,0,151.0,0,Canceled,2,2
2,0,0,4,Meal Plan 1,1,Room_Type 4,12,11,Online,0,0,0,91.45,0,Not_Canceled,4,1
2,0,0,1,Not Selected,0,Room_Type 1,14,7,Online,0,0,0,139.0,1,Not_Canceled,6,1
1,0,2,4,Meal Plan 1,0,Room_Type 1,69,6,Offline,0,0,0,120.0,0,Canceled,1,2
2,0,2,3,Meal Plan 1,0,Room_Type 1,88,4,Online,0,0,0,90.95,1,Not_Canceled,0,2
1,0,0,1,Meal Plan 1,0,Room_Type 1,47,4,Online,0,0,0,99.9,0,Canceled,3,2
2,0,1,3,Meal Plan 2,0,Room_Type 1,157,9,Online,0,0,0,161.1,2,Canceled,2,1
2,0,1,2,Meal Plan 1,0,Room_Type 1,114,6,Offline,0,0,0,75.0,0,Canceled,6,1
1,0,2,2,Meal Plan 1,0,Room_Type 1,2,5,Offline,0,0,0,66.88,0,Not_Canceled,1,2
3,0,2,0,Meal Plan 1,0,Room_Type 4,65,4,Online,0,0,0,137.7,2,Not_Canceled,1,3
1,0,0,2,Meal Plan 1,0,Room_Type 1,88,10,Corporate,0,0,0,71.0,1,Not_Canceled,6,1
2,0,0,2,Meal Plan 1,0,Room_Type 1,225,8,Online,0,0,0,96.3,0,Canceled,6,2
2,0,1,1,Meal Plan 2,0,Room_Type 1,301,7,Offline,0,0,0,115.0,1,Canceled,0,3
2,0,1,2,Not Selected,0,Room_Type 1,155,8,Online,0,0,0,85.5,2,Not_Canceled,6,3
3,0,0,3,Meal Plan 1,0,Room_Type 4,80,8,Online,0,0,0,135.27,1,Not_Canceled,4,1
2,0,0,3,Meal Plan 1,0,Room_Type 1,192,8,Offline,0,0,0,100.0,0,Not_Canceled,5,3
2,0,2,4,Meal Plan 1,0,Room_Type 4,24,10,Online,0,0,0,81.7,1,Not_Canceled,2,1
2,0,0,3,Meal Plan 1,0,Room_Type 1,71,9,Offline,0,0,0,95.0,0,Not_Canceled,4,3
2,0,2,3,Meal Plan 1,0,Room_Type 1,303,8,Offline,0,0,0,78.0,0,Canceled,6,2
1,0,4,9,Meal Plan 1,0,Room_Type 1,32,11,Online,0,0,0,74.8,1,Canceled,1,3
2,0,2,1,Meal Plan 1,0,Room_Type 1,32,5,Online,0,0,0,126.9,0,Canceled,1,1
2,0,1,0,Meal Plan 1,0,Room_Type 4,40,4,Online,0,0,0,109.8,0,Not_Canceled,2,2
2,0,2,2,Meal Plan 1,0,Room_Type 1,57,12,Online,0,0,0,88.4,1,Not_Canceled,6,1
2,0,1,2,Meal Plan 1,0,Room_Type 1,46,3,Offline,0,0,0,85.0,0,Canceled,2,2
2,0,2,2,Meal Plan 1,0,Room_Type 4,110,7,Online,0,0,0,121.05,0,Not_Canceled,6,3
3,0,1,1,Meal Plan 1,0,Room_Type 1,33,1,Corporate,0,0,0,95.0,0,Not_Canceled,3,3
2,0,2,2,Not Selected,0,Room_Type 1,196,7,Online,0,0,0,80.75,1,Not_Canceled,1,3
2,2,1,3,Meal Plan 1,0,Room_Type 6,8,2,Online,0,0,0,171.0,0,Canceled,3,3
2,0,1,0,Meal Plan 1,0,Room_Type 4,30,9,Online,0,0,0,149.4,1,Not_Canceled,1,1
2,0,2,4,Meal Plan 1,0,Room_Type 1,28,4,Online,0,0,0,131.6,0,Canceled,6,3
2,0,1,0,Not Selected,0,Room_Type 1,49,7,Online,0,0,0,93.15,0,Canceled,2,1
2,0,2,1,Meal Plan 1,0,Room_Type 1,229,10,Online,0,0,0,96.3,0,Canceled,1,2
2,0,2,2,Meal Plan 1,0,Room_Type 1,6,3,Online,0,0,0,133.5,1,Not_Canceled,0,3
2,0,1,2,Meal Plan 1,0,Room_Type 1,280,9,Offline,0,0,0,110.0,0,Canceled,2,2
2,0,2,3,Meal Plan 1,0,Room_Type 1,192,9,Offline,0,0,0,102.0,0,Canceled,0,3
2,0,2,5,Not Selected,0,Room_Type 1,164,7,Online,0,0,0,89.25,1,Canceled,6,3
2,0,0,2,Meal Plan 2,0,Room_Type 1,320,8,Offline,0,0,0,115.0,1,Canceled,5,2
3,0,0,4,Meal Plan 1,0,Room_Type 4,109,8,Online,0,0,0,152.1,0,Canceled,4,3
2,0,2,1,Meal Plan 1,0,Room_Type 1,55,4,Offline,0,0,0,75.0,1,Not_Canceled,1,1
2,0,2,1,Meal Plan 1,0,Room_Type 1,2,9,Online,0,0,0,138.67,1,Not_Canceled,1,2
2,0,0,3,Meal Plan 1,0,Room_Type 1,105,10,Offline,0,0,0,75.0,0,Not_Canceled,4,2
2,0,4,6,Meal Plan 1,0,Room_Type 1,207,8,Offline,0,0,0,72.25,0,Not_Canceled,0,2
2,0,2,2,Meal Plan 1,0,Room_Type 1,74,3,Online,0,0,0,82.45,1,Not_Canceled,1,2
2,0,1,1,Meal Plan 1,0,Room_Type 1,188,8,Online,0,0,0,105.3,0,Canceled,0,2
2,1,2,0,Meal Plan 1,0,Room_Type 1,14,4,Online,0,0,0,149.0,2,Not_Canceled,1,3
2,0,1,1,Meal Plan 1,0,Room_Type 1,275,6,Offline,0,0,0,62.8,0,Canceled,0,1
1,0,0,3,Meal Plan 1,0,Room_Type 1,4,10,Corporate,1,1,2,65.0,1,Not_Canceled,3,1
2,0,0,1,Not Selected,0,Room_Type 1,181,7,Online,0,0,0,85.5,1,Canceled,6,1
2,0,0,3,Meal Plan 1,0,Room_Type 1,73,7,Online,0,0,0,90.78,1,Not_Canceled,4,1
2,0,0,3,Meal Plan 1,0,Room_Type 1,1,2,Online,0,0,0,73.61,0,Not_Canceled,5,3
2,0,2,2,Meal Plan 1,0,Room_Type 1,17,9,Online,0,0,0,138.0,1,Not_Canceled,0,2
2,0,0,2,Meal Plan 1,0,Room_Type 1,76,12,Offline,0,0,0,75.0,1,Not_Canceled,4,1
3,0,2,1,Meal Plan 1,0,Room_Type 4,26,7,Online,0,0,0,187.0,0,Canceled,0,1
3,0,1,2,Meal Plan 1,0,Room_Type 1,165,8,Online,0,0,0,146.7,0,Canceled,6,2
2,0,0,2,Meal Plan 2,0,Room_Type 1,39,8,Offline,0,0,0,101.5,0,Not_Canceled,0,2
2,0,0,3,Meal Plan 1,0,Room_Type 4,237,10,Online,0,0,0,128.4,0,Canceled,5,2
2,0,2,2,Meal Plan 1,0,Room_Type 4,107,11,Online,0,0,0,117.28,0,Not_Canceled,1,1
1,0,1,1,Meal Plan 1,0,Room_Type 1,0,7,Complementary,0,0,0,0.0,0,Not_Canceled,2,1
2,0,2,4,Meal Plan 1,0,Room_Type 1,137,11,Online,0,0,0,65.45,1,Not_Canceled,4,2
2,0,0,1,Not Selected,0,Room_Type 1,4,8,Online,0,0,0,167.0,1,Not_Canceled,0,2
2,0,0,4,Meal Plan 1,0,Room_Type 5,120,4,Online,0,0,0,94.86,0,Canceled,3,1
2,0,0,3,Meal Plan 1,0,Room_Type 1,95,6,Online,0,0,0,137.1,1,Not_Canceled,5,2
2,1,2,1,Meal Plan 1,0,Room_Type 1,69,5,Online,0,0,0,121.5,0,Not_Canceled,0,1
2,0,1,2,Meal Plan 1,0,Room_Type 1,66,10,Offline,0,0,0,75.0,0,Canceled,0,1
1,0,1,1,Meal Plan 2,0,Room_Type 1,88,10,Offline,0,0,0,90.6,0,Not_Canceled,3,1
2,0,0,2,Meal Plan 1,0,Room_Type 1,86,9,Offline,0,0,0,105.0,0,Not_Canceled,6,3
2,0,2,3,Meal Plan 1,0,Room_Type 1,86,2,Online,0,0,0,56.93,1,Not_Canceled,1,2
2,0,0,5,Meal Plan 1,0,Room_Type 1,140,12,Offline,0,0,0,70.0,0,Not_Canceled,4,3
3,0,1,2,Meal Plan 2,0,Room_Type 1,161,3,Offline,0,0,0,130.0,0,Canceled,6,3
2,0,1,4,Meal Plan 1,0,Room_Type 4,34,4,Online,0,0,0,131.4,0,Canceled,2,1
2,0,0,1,Meal Plan 1,0,Room_Type 1,10,9,Offline,0,0,0,85.0,1,Not_Canceled,1,1
2,0,0,3,Meal Plan 1,0,Room_Type 1,76,12,Offline,0,0,0,75.0,0,Not_Canceled,4,1
2,0,1,3,Meal Plan 1,0,Room_Type 1,76,6,Online,0,0,0,109.8,1,Not_Canceled,2,3
2,0,0,4,Meal Plan 1,0,Room_Type 4,62,4,Online,0,0,0,112.2,1,Canceled,4,1
2,0,0,2,Meal Plan 1,0,Room_Type 1,11,1,Online,0,0,0,80.3,1,Not_Canceled,5,2
2,0,0,1,Not Selected,0,Room_Type 1,53,12,Online,0,0,0,79.2,2,Not_Canceled,6,2
2,0,2,1,Meal Plan 1,0,Room_Type 1,94,9,Online,0,0,0,135.9,2,Not_Canceled,1,1
2,0,1,5,Meal Plan 1,0,Room_Type 1,32,4,Online,0,0,0,73.32,0,Not_Canceled,2,2
2,0,0,0,Meal Plan 2,0,Room_Type 1,346,9,Online,0,0,0,0.0,1,Not_Canceled,3,2
2,0,0,2,Meal Plan 1,0,Room_Type 1,301,11,Offline,0,0,0,52.0,0,Canceled,6,2
3,0,1,0,Meal Plan 1,0,Room_Type 1,36,4,Online,0,0,0,150.3,2,Not_Canceled,2,1
1,0,0,1,Meal Plan 1,0,Room_Type 1,1,10,Offline,0,0,0,90.0,0,Not_Canceled,5,2
2,1,0,4,Meal Plan 1,0,Room_Type 1,106,7,Offline,0,0,0,84.58,1,Not_Canceled,4,2
2,0,1,3,Meal Plan 1,0,Room_Type 1,322,5,Offline,0,0,0,80.0,0,Canceled,5,2
2,0,0,1,Not Selected,0,Room_Type 1,4,3,Online,0,0,0,91.0,1,Not_Canceled,4,1
2,0,2,1,Meal Plan 1,0,Room_Type 1,11,6,Online,0,0,0,141.0,1,Not_Canceled,0,2
2,1,2,3,Meal Plan 1,0,Room_Type 1,207,10,Online,0,0,0,80.01,3,Not_Canceled,5,2
1,0,2,1,Meal Plan 2,0,Room_Type 1,220,9,Offline,0,0,0,128.0,0,Canceled,0,2
3,0,0,3,Meal Plan 1,0,Room_Type 4,132,9,Online,0,0,0,162.0,2,Not_Canceled,5,3
1,0,1,1,Meal Plan 1,0,Room_Type 1,82,5,Offline,0,0,0,80.0,1,Not_Canceled,2,1
2,1,2,2,Meal Plan 1,0,Room_Type 1,52,12,Online,0,0,0,103.7,3,Not_Canceled,1,1
2,0,0,1,Meal Plan 1,0,Room_Type 1,0,6,Online,0,0,0,139.0,0,Not_Canceled,5,1
1,0,2,8,Meal Plan 1,0,Room_Type 1,51,2,Online,0,0,0,66.3,1,Canceled,6,3
2,0,2,4,Not Selected,0,Room_Type 1,15,11,Online,0,0,0,92.5,0,Canceled,5,2
2,0,0,3,Meal Plan 1,0,Room_Type 2,128,5,Online,0,0,0,104.18,0,Not_Canceled,5,1
2,0,0,4,Meal Plan 1,0,Room_Type 1,159,11,Online,0,0,0,85.0,2,Not_Canceled,3,3
1,0,1,3,Meal Plan 1,0,Room_Type 1,92,7,Online,0,0,0,68.0,2,Canceled,3,1
1,0,0,1,Meal Plan 1,0,Room_Type 2,16,3,Online,0,0,0,103.0,1,Not_Canceled,6,2
3,0,1,4,Meal Plan 1,0,Room_Type 4,71,6,Offline,0,0,0,115.6,0,Canceled,4,1
2,0,1,1,Meal Plan 1,0,Room_Type 1,97,5,Offline,0,0,0,80.75,0,Not_Canceled,2,2
1,0,1,0,Meal Plan 1,0,Room_Type 1,263,9,Offline,0,0,0,59.5,0,Not_Canceled,3,2
2,0,0,5,Meal Plan 1,0,Room_Type 1,36,11,Online,0,0,0,64.67,1,Not_Canceled,3,2
1,0,0,3,Meal Plan 1,0,Room_Type 2,206,9,Online,0,0,0,126.9,1,Canceled,5,1
2,0,0,1,Meal Plan 1,0,Room_Type 1,0,9,Corporate,0,0,0,160.0,0,Not_Canceled,3,3
2,2,1,1,Meal Plan 1,0,Room_Type 6,217,8,Online,0,0,0,168.3,1,Canceled,0,3
1,0,4,5,Meal Plan 1,0,Room_Type 1,2,11,Online,0,0,0,76.12,1,Canceled,1,3
1,0,1,0,Meal Plan 1,0,Room_Type 1,77,10,Online,0,0,0,85.5,2,Not_Canceled,1,3
1,0,0,1,Meal Plan 1,0,Room_Type 1,28,5,Online,0,0,0,135.0,1,Not_Canceled,5,2
2,0,0,4,Meal Plan 2,0,Room_Type 1,296,9,Offline,0,0,0,117.0,1,Canceled,4,2
2,0,2,1,Meal Plan 1,0,Room_Type 1,20,2,Online,0,0,0,93.0,2,Not_Canceled,2,1
2,0,0,4,Meal Plan 1,0,Room_Type 6,2,10,Online,0,0,0,175.56,1,Not_Canceled,3,1
1,0,2,2,Meal Plan 1,0,Room_Type 1,62,9,Online,0,0,0,98.55,1,Canceled,1,1
2,0,0,2,Meal Plan 1,0,Room_Type 1,94,12,Online,0,0,0,72.25,1,Canceled,6,1
3,0,2,1,Meal Plan 1,0,Room_Type 4,6,3,Online,0,0,0,177.0,1,Not_Canceled,0,2
2,0,2,3,Meal Plan 1,0,Room_Type 1,183,5,Online,0,0,0,100.3,1,Canceled,6,1
2,0,3,5,Meal Plan 1,0,Room_Type 1,213,9,Online,0,0,0,119.85,0,Canceled,2,2
1,0,1,0,Not Selected,0,Room_Type 1,15,9,Online,0,0,0,89.0,0,Canceled,2,2
2,0,1,3,Meal Plan 1,0,Room_Type 4,42,3,Online,0,0,0,131.48,1,Not_Canceled,5,3
3,0,2,5,Meal Plan 1,0,Room_Type 4,77,8,Online,0,0,0,150.3,2,Not_Canceled,4,1
1,0,1,0,Meal Plan 1,0,Room_Type 1,164,10,Offline,0,0,0,115.0,0,Canceled,1,2
2,0,1,3,Meal Plan 1,0,Room_Type 1,79,3,Online,0,0,0,90.95,1,Canceled,5,3
2,0,0,3,Meal Plan 1,1,Room_Type 1,87,9,Online,0,0,0,98.25,1,Not_Canceled,4,2
2,0,0,2,Meal Plan 2,0,Room_Type 1,19,3,Online,0,0,0,147.0,0,Canceled,6,2
